bulk_id,spalen,date1,mm_ratio_zar,mm_ratio_vre,mm_ratio_vre_16,mm_ratio_vre_1,mm_ratio_nre,mm_sold_in_quarter
4B3B6D6A-93FF-E411-8098-001EC9D56418,3.0,1435708800000000000,9.0,20.0,6.0,0.0,1.0,1035.5999999999997
4B3B6D6A-93FF-E411-8098-001EC9D56418,1.0,1435708800000000000,11.0,60.0,19.0,0.0,1.0,402.50000000000006
4B3B6D6A-93FF-E411-8098-001EC9D56418,0.0,1435708800000000000,7.0,14.0,6.0,0.0,0.0,448.4999999999999
4B3B6D6A-93FF-E411-8098-001EC9D56418,2.0,1435708800000000000,13.0,44.0,11.0,0.0,0.0,917.5000000000001
B526E7C2-5C3E-E411-988B-001EC9D5643C,2.0,1435708800000000000,27.0,36.0,0.0,0.0,4.0,5451.700000000003
B526E7C2-5C3E-E411-988B-001EC9D5643C,1.0,1435708800000000000,31.0,41.0,0.0,0.0,1.0,3901.699999999999
B526E7C2-5C3E-E411-988B-001EC9D5643C,3.0,1435708800000000000,2.0,3.0,0.0,0.0,0.0,608.3
B526E7C2-5C3E-E411-988B-001EC9D5643C,0.0,1435708800000000000,3.0,3.0,0.0,0.0,0.0,453.99999999999983
8421806C-5D3E-E411-988B-001EC9D5643C,3.0,1435708800000000000,11.0,17.0,0.0,0.0,1.0,5465.3
8421806C-5D3E-E411-988B-001EC9D5643C,1.0,1435708800000000000,19.0,26.0,0.0,0.0,1.0,10411.0
8421806C-5D3E-E411-988B-001EC9D5643C,0.0,1435708800000000000,2.0,4.0,0.0,0.0,0.0,0.0
8421806C-5D3E-E411-988B-001EC9D5643C,2.0,1435708800000000000,29.0,35.0,0.0,0.0,3.0,11407.299999999988
67A58823-AFC9-E511-9405-001EC9D56418,1.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
67A58823-AFC9-E511-9405-001EC9D56418,2.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
67A58823-AFC9-E511-9405-001EC9D56418,4.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
67A58823-AFC9-E511-9405-001EC9D56418,3.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
67A58823-AFC9-E511-9405-001EC9D56418,0.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
8B240E6D-7FCA-E511-9405-001EC9D56418,1.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
8B240E6D-7FCA-E511-9405-001EC9D56418,2.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
8B240E6D-7FCA-E511-9405-001EC9D56418,4.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
8B240E6D-7FCA-E511-9405-001EC9D56418,3.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
8B240E6D-7FCA-E511-9405-001EC9D56418,0.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
F38FFFC2-6F3B-E511-A64E-001EC9D5643C,1.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
F38FFFC2-6F3B-E511-A64E-001EC9D5643C,2.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
F38FFFC2-6F3B-E511-A64E-001EC9D5643C,0.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
F38FFFC2-6F3B-E511-A64E-001EC9D5643C,3.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
EB65828D-0449-42C8-9224-42B1C83F1B1E,1.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
EB65828D-0449-42C8-9224-42B1C83F1B1E,2.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
EB65828D-0449-42C8-9224-42B1C83F1B1E,4.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
EB65828D-0449-42C8-9224-42B1C83F1B1E,3.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
EB65828D-0449-42C8-9224-42B1C83F1B1E,0.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
11343FA0-ABDF-E511-B620-001EC9D5643C,1.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
11343FA0-ABDF-E511-B620-001EC9D5643C,2.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
11343FA0-ABDF-E511-B620-001EC9D5643C,4.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
11343FA0-ABDF-E511-B620-001EC9D5643C,3.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
11343FA0-ABDF-E511-B620-001EC9D5643C,0.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
5A4E0BD8-5C29-E511-84C6-001EC9D56418,1.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
5A4E0BD8-5C29-E511-84C6-001EC9D56418,2.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
5A4E0BD8-5C29-E511-84C6-001EC9D56418,0.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
5A4E0BD8-5C29-E511-84C6-001EC9D56418,4.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
5A4E0BD8-5C29-E511-84C6-001EC9D56418,3.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
D04F1379-5729-E511-84C6-001EC9D56418,2.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
D04F1379-5729-E511-84C6-001EC9D56418,1.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
D04F1379-5729-E511-84C6-001EC9D56418,4.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
D04F1379-5729-E511-84C6-001EC9D56418,3.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
D04F1379-5729-E511-84C6-001EC9D56418,0.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
534A36A0-C58B-E611-BE92-001EC9D5643C,2.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
534A36A0-C58B-E611-BE92-001EC9D5643C,1.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
534A36A0-C58B-E611-BE92-001EC9D5643C,3.0,1435708800000000000,0.0,0.0,0.0,0.0,0.0,0.0
