bulk_id,spalen,date1,ratio_zar,ratio_vre,ratio_vre_16,ratio_vre_1,ratio_nre,ratio_vsre,sold_in_quarter
4B3B6D6A-93FF-E411-8098-001EC9D56418,3.0,1441065600000000000,23.0,33.0,11.0,0.0,1.0,0.0,5517.40000000001
4B3B6D6A-93FF-E411-8098-001EC9D56418,1.0,1441065600000000000,51.0,93.0,26.0,0.0,3.0,0.0,3985.9000000000065
4B3B6D6A-93FF-E411-8098-001EC9D56418,0.0,1441065600000000000,15.0,17.0,6.0,0.0,1.0,0.0,1053.2999999999995
4B3B6D6A-93FF-E411-8098-001EC9D56418,2.0,1441065600000000000,54.0,78.0,19.0,0.0,3.0,0.0,14021.800000000023
B526E7C2-5C3E-E411-988B-001EC9D5643C,2.0,1441065600000000000,46.0,57.0,0.0,0.0,13.0,0.0,11965.000000000005
B526E7C2-5C3E-E411-988B-001EC9D5643C,1.0,1441065600000000000,63.0,66.0,0.0,0.0,13.0,0.0,15413.100000000006
B526E7C2-5C3E-E411-988B-001EC9D5643C,3.0,1441065600000000000,8.0,9.0,0.0,0.0,0.0,0.0,2008.3000000000006
B526E7C2-5C3E-E411-988B-001EC9D5643C,0.0,1441065600000000000,4.0,3.0,0.0,0.0,0.0,0.0,612.9
8421806C-5D3E-E411-988B-001EC9D5643C,3.0,1441065600000000000,18.0,19.0,0.0,0.0,1.0,0.0,8600.799999999994
8421806C-5D3E-E411-988B-001EC9D5643C,1.0,1441065600000000000,30.0,33.0,0.0,0.0,1.0,0.0,13841.5
8421806C-5D3E-E411-988B-001EC9D5643C,0.0,1441065600000000000,5.0,5.0,0.0,0.0,0.0,0.0,204.29999999999995
8421806C-5D3E-E411-988B-001EC9D5643C,2.0,1441065600000000000,42.0,41.0,0.0,0.0,3.0,0.0,20030.79999999999
67A58823-AFC9-E511-9405-001EC9D56418,1.0,1441065600000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67A58823-AFC9-E511-9405-001EC9D56418,2.0,1441065600000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67A58823-AFC9-E511-9405-001EC9D56418,4.0,1441065600000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67A58823-AFC9-E511-9405-001EC9D56418,3.0,1441065600000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
