bulk_id,spalen,date1,value
FF3814A9-9F7D-E711-8530-00505688958B,1,1512086400000000000,1064.248
FF3814A9-9F7D-E711-8530-00505688958B,2,1512086400000000000,1319.0268
FF3814A9-9F7D-E711-8530-00505688958B,0,1512086400000000000,382.4354
FF3814A9-9F7D-E711-8530-00505688958B,3,1512086400000000000,913.106
FF3814A9-9F7D-E711-8530-00505688958B,1,1514764800000000000,548.3199
FF3814A9-9F7D-E711-8530-00505688958B,2,1514764800000000000,831.0654
FF3814A9-9F7D-E711-8530-00505688958B,0,1514764800000000000,201.9649
FF3814A9-9F7D-E711-8530-00505688958B,3,1514764800000000000,515.1596
FF3814A9-9F7D-E711-8530-00505688958B,1,1517443200000000000,563.1805
FF3814A9-9F7D-E711-8530-00505688958B,2,1517443200000000000,857.71
FF3814A9-9F7D-E711-8530-00505688958B,0,1517443200000000000,221.358
FF3814A9-9F7D-E711-8530-00505688958B,3,1517443200000000000,558.8553
43BF0132-CC0A-E511-8098-001EC9D56418,1,1512086400000000000,15.8591
7726CF5A-CC0A-E511-8098-001EC9D56418,3,1512086400000000000,26.3159
7726CF5A-CC0A-E511-8098-001EC9D56418,1,1512086400000000000,0.0
7726CF5A-CC0A-E511-8098-001EC9D56418,3,1514764800000000000,19.3576
7726CF5A-CC0A-E511-8098-001EC9D56418,3,1517443200000000000,23.4197
A0E3ADEC-68D5-E511-9840-001EC9D56418,1,1512086400000000000,61.8408
A0E3ADEC-68D5-E511-9840-001EC9D56418,2,1512086400000000000,155.3729
A0E3ADEC-68D5-E511-9840-001EC9D56418,3,1512086400000000000,1.823
72B1CAF6-A2DC-E511-9840-001EC9D56418,2,1512086400000000000,237.3674
72B1CAF6-A2DC-E511-9840-001EC9D56418,3,1512086400000000000,34.9684
35168781-8F60-E611-9523-001EC9D5643C,3,1512086400000000000,205.1316
35168781-8F60-E611-9523-001EC9D5643C,2,1512086400000000000,468.1365
35168781-8F60-E611-9523-001EC9D5643C,0,1512086400000000000,75.7246
A8632090-8F60-E611-9523-001EC9D5643C,3,1512086400000000000,197.9275
A8632090-8F60-E611-9523-001EC9D5643C,2,1512086400000000000,828.8159
A8632090-8F60-E611-9523-001EC9D5643C,1,1512086400000000000,159.5751
50B329EC-1DE2-E511-B953-001EC9D56418,3,1512086400000000000,17.6184
B091AECC-2FA8-E211-9DE0-001EC9D56438,1,1512086400000000000,0.0
F4BE45B2-AFF2-E611-84D2-001EC9D56418,4,1512086400000000000,148.2966
F4BE45B2-AFF2-E611-84D2-001EC9D56418,3,1512086400000000000,410.7828
F4BE45B2-AFF2-E611-84D2-001EC9D56418,1,1512086400000000000,179.6414
F4BE45B2-AFF2-E611-84D2-001EC9D56418,2,1512086400000000000,292.3763
832FDFD6-AFF2-E611-84D2-001EC9D56418,3,1512086400000000000,237.6219
832FDFD6-AFF2-E611-84D2-001EC9D56418,2,1512086400000000000,1020.0806
832FDFD6-AFF2-E611-84D2-001EC9D56418,0,1512086400000000000,113.1503
