iter	RMSE
0	437.1640229
1	429.1762414
2	421.2119749
3	413.8126744
4	406.3454855
5	399.3528965
6	392.7481434
7	386.1506765
8	379.7921691
9	373.7740331
10	368.4356995
11	362.8766413
12	357.9952388
13	353.0433179
14	348.348635
15	343.5541784
16	339.3305151
17	334.8768186
18	330.7394571
19	326.4732617
20	322.8534667
21	319.749759
22	316.2044318
23	312.6903121
24	309.396489
25	306.1496558
26	302.8209827
27	300.141334
28	297.2907676
29	294.5174111
30	291.9884063
31	289.3128453
32	286.921221
33	284.4450383
34	282.2489179
35	280.0996906
36	278.1938664
37	276.3355124
38	274.4734924
39	272.1504601
40	270.2857526
41	268.5299134
42	266.8375131
43	265.3386887
44	263.8232497
45	262.125583
46	260.5542337
47	259.4099284
48	258.1200742
49	256.6880275
50	255.2797487
51	254.2037769
52	252.9494047
53	251.8235172
54	250.7761898
55	249.5574323
56	248.5048009
57	247.603325
58	246.5750088
59	245.6411209
60	244.5533135
61	243.7044981
62	242.6846577
63	241.9231998
64	241.205757
65	240.3531936
66	239.5309955
67	238.7462897
68	237.8957984
69	237.229307
70	236.528494
71	235.8001363
72	235.0193261
73	234.3683263
74	233.8687935
75	233.2503818
76	232.6661185
77	231.9400639
78	231.2791635
79	230.6896263
80	230.1566957
81	229.5878574
82	229.0006013
83	228.5848309
84	228.0073371
85	227.4890626
86	226.9203665
87	226.494942
88	226.1702829
89	225.600822
90	225.0653946
91	224.6908292
92	224.3445199
93	224.0395238
94	223.5757486
95	223.1886938
96	222.805205
97	222.5060637
98	221.9395591
99	221.5691188
100	221.3007792
101	220.7974747
102	220.4410773
103	220.1032942
104	219.6764624
105	219.3687471
106	219.036225
107	218.7145587
108	218.305184
109	217.9754864
110	217.6154258
111	217.3878072
112	216.8745745
113	216.4586416
114	216.1965616
115	215.943083
116	215.6392285
117	215.1724888
118	214.9037812
119	214.6210682
120	214.3723121
121	214.0213101
122	213.6421
123	213.4239716
124	213.1945397
125	212.9227266
126	212.6735153
127	212.5020387
128	212.2078969
129	211.9277654
130	211.5490578
131	211.2188994
132	210.9347669
133	210.584002
134	210.3379297
135	210.1212695
136	209.8926328
