iter	Passed	Remaining
0	115	69063
1	220	65817
2	318	63382
3	395	58904
4	460	54786
5	530	52520
6	592	50213
7	660	48847
8	716	47026
9	779	45977
10	867	46424
11	918	44991
12	977	44119
13	1026	42985
14	1095	42735
15	1135	41462
16	1177	40386
17	1236	39993
18	1290	39462
19	1345	39019
20	1410	38880
21	1439	37808
22	1491	37411
23	1561	37471
24	1612	37077
25	1662	36692
26	1712	36334
27	1737	35493
28	1776	34973
29	1817	34533
30	1859	34137
31	1897	33685
32	1937	33281
33	1972	32837
34	2015	32541
35	2058	32253
36	2094	31872
37	2162	31976
38	2241	32248
39	2329	32607
40	2406	32812
41	2465	32758
42	2538	32877
43	2617	33077
44	2684	33110
45	2750	33124
46	2810	33070
47	2851	32795
48	2915	32784
49	2977	32751
50	3036	32686
51	3093	32596
52	3153	32547
53	3218	32539
54	3292	32627
55	3350	32543
56	3404	32430
57	3455	32293
58	3520	32276
59	3589	32305
60	3652	32272
61	3712	32216
62	3778	32208
63	3830	32077
64	3892	32038
65	3940	31879
66	3987	31720
67	4044	31639
68	4093	31504
69	4147	31401
70	4216	31413
71	4270	31315
72	4317	31170
73	4404	31309
74	4481	31371
75	4550	31371
76	4616	31357
77	4677	31300
78	4731	31206
79	4785	31103
80	4849	31073
81	4908	31005
82	4969	30954
83	5041	30967
84	5102	30913
85	5157	30822
86	5211	30731
87	5263	30625
88	5328	30592
89	5387	30529
90	5442	30444
91	5497	30353
92	5562	30324
93	5606	30181
94	5661	30095
95	5720	30034
96	5777	29961
97	5836	29894
98	5894	29828
99	5945	29728
100	5999	29640
101	6051	29544
102	6100	29434
103	6154	29353
104	6209	29272
105	6268	29214
106	6319	29117
107	6377	29051
108	6435	28991
109	6482	28878
110	6537	28799
111	6581	28677
112	6636	28602
113	6682	28489
114	6732	28393
115	6789	28329
116	6844	28255
117	6899	28182
118	6952	28101
119	7007	28030
120	7093	28081
121	7164	28070
122	7230	28039
123	7284	27964
124	7346	27916
125	7408	27871
126	7466	27806
127	7520	27731
128	7580	27678
129	7655	27678
130	7713	27616
131	7774	27563
132	7829	27491
133	7881	27407
134	7934	27329
135	7996	27280
136	8046	27194
137	8098	27113
138	8159	27062
139	8220	27008
140	8290	26989
141	8342	26906
142	8400	26845
143	8459	26789
144	8522	26741
145	8564	26633
146	8617	26555
147	8707	26591
148	8795	26621
149	8862	26588
150	8924	26536
151	8989	26495
152	9048	26436
153	9104	26368
154	9160	26298
155	9230	26271
156	9282	26191
157	9342	26135
158	9403	26082
159	9466	26032
160	9531	25990
161	9602	25961
162	9652	25878
163	9710	25815
164	9765	25744
165	9820	25674
166	9880	25617
167	9935	25549
168	9987	25472
169	10041	25397
170	10099	25336
171	10160	25283
172	10232	25256
173	10306	25233
174	10372	25190
175	10437	25145
176	10486	25059
177	10562	25041
178	10617	24970
179	10669	24895
180	10722	24821
181	10775	24749
182	10868	24766
183	10936	24725
184	11003	24683
185	11057	24612
186	11117	24554
187	11183	24507
188	11237	24438
189	11302	24390
190	11360	24326
191	11413	24254
192	11487	24224
193	11546	24165
194	11595	24083
195	11639	23991
196	11691	23917
197	11719	23794
198	11773	23725
199	11814	23628
200	11847	23519
201	11886	23420
202	11926	23324
203	11970	23236
204	12024	23169
205	12079	23103
206	12141	23051
207	12188	22970
208	12239	22898
209	12291	22827
210	12349	22767
211	12416	22723
212	12495	22702
213	12551	22639
214	12597	22559
215	12640	22471
216	12688	22395
217	12730	22308
218	12777	22229
219	12836	22172
220	12887	22100
221	12956	22061
222	13014	22002
223	13060	21923
224	13125	21875
225	13181	21813
226	13243	21762
227	13305	21708
228	13375	21668
229	13434	21612
230	13495	21558
231	13530	21462
232	13583	21396
233	13634	21325
234	13683	21252
235	13748	21205
236	13804	21143
237	13863	21086
238	13929	21039
239	13982	20974
240	14046	20923
241	14104	20866
242	14155	20796
243	14206	20728
244	14267	20673
245	14343	20640
246	14395	20573
247	14443	20500
248	14485	20419
249	14543	20361
250	14593	20291
251	14644	20223
252	14701	20163
253	14751	20094
254	14817	20047
255	14879	19993
256	14939	19938
257	15008	19894
258	15056	19823
259	15115	19766
260	15191	19731
261	15270	19700
262	15342	19659
263	15406	19607
264	15457	19540
265	15512	19477
266	15576	19427
267	15639	19374
268	15704	19323
269	15766	19269
270	15822	19208
271	15882	19152
272	15936	19089
273	16004	19042
274	16068	18989
275	16134	18939
276	16202	18893
277	16260	18833
278	16351	18813
279	16415	18760
280	16472	18700
281	16528	18639
282	16586	18579
283	16644	18520
284	16726	18486
285	16793	18438
286	16827	18351
287	16884	18291
288	16950	18240
289	17018	18192
290	17076	18132
291	17135	18074
292	17186	18007
293	17249	17953
294	17307	17893
295	17372	17842
296	17445	17798
297	17498	17733
298	17558	17675
299	17606	17606
300	17671	17554
301	17737	17502
302	17801	17449
303	17864	17394
304	17921	17333
305	17977	17272
306	18034	17212
307	18089	17150
308	18142	17086
309	18204	17029
310	18263	16971
311	18327	16917
312	18381	16855
313	18445	16800
314	18514	16751
315	18574	16693
316	18632	16634
317	18693	16577
318	18763	16528
319	18813	16461
320	18886	16415
321	18947	16358
322	18994	16289
323	19068	16243
324	19125	16182
325	19186	16126
326	19241	16064
327	19283	15990
328	19323	15916
329	19368	15846
330	19417	15780
331	19477	15722
332	19549	15675
333	19619	15624
334	19701	15584
335	19781	15542
336	19842	15485
337	19897	15423
338	19954	15363
339	20014	15305
340	20074	15247
341	20127	15183
342	20184	15123
343	20237	15060
344	20293	14999
345	20360	14946
346	20422	14889
347	20480	14830
348	20539	14772
349	20586	14704
350	20637	14640
351	20691	14577
352	20748	14518
353	20799	14453
354	20856	14393
355	20910	14331
356	20955	14264
357	21017	14207
358	21072	14145
359	21128	14085
360	21192	14030
361	21225	13954
362	21263	13882
363	21305	13813
364	21347	13743
365	21393	13677
366	21442	13613
367	21484	13544
368	21539	13484
369	21591	13421
370	21656	13367
371	21712	13307
372	21780	13255
373	21830	13191
374	21882	13129
375	21927	13063
376	21979	13001
377	22024	12935
378	22089	12880
379	22142	12819
380	22193	12756
381	22249	12697
382	22312	12641
383	22360	12578
384	22412	12515
385	22461	12452
386	22513	12391
387	22579	12337
388	22636	12278
389	22686	12215
390	22741	12156
391	22786	12090
392	22847	12034
393	22895	11970
394	22946	11908
395	22999	11848
396	23050	11786
397	23096	11722
398	23153	11663
399	23211	11605
400	23269	11547
401	23318	11485
402	23369	11423
403	23413	11358
404	23480	11305
405	23540	11248
406	23613	11197
407	23695	11150
408	23772	11101
409	23862	11058
410	23944	11010
411	24011	10956
412	24076	10901
413	24136	10843
414	24206	10790
415	24272	10735
416	24340	10681
417	24402	10624
418	24456	10564
419	24517	10507
420	24579	10450
421	24638	10392
422	24692	10332
423	24760	10278
424	24817	10219
425	24873	10159
426	24917	10095
427	24962	10031
428	25017	9971
429	25072	9912
430	25132	9854
431	25181	9792
432	25238	9734
433	25292	9674
434	25351	9615
435	25402	9555
436	25458	9495
437	25512	9436
438	25561	9374
439	25619	9316
440	25684	9260
441	25750	9205
442	25820	9150
443	25908	9102
444	25982	9050
445	26056	8997
446	26114	8938
447	26166	8878
448	26230	8821
449	26289	8763
450	26346	8704
451	26409	8647
452	26468	8589
453	26532	8532
454	26600	8477
455	26657	8418
456	26719	8360
457	26773	8300
458	26825	8240
459	26876	8179
460	26927	8119
461	26983	8059
462	27036	8000
463	27089	7940
464	27153	7883
465	27209	7824
466	27268	7765
467	27320	7705
468	27381	7648
469	27451	7593
470	27512	7535
471	27577	7478
472	27634	7419
473	27715	7367
474	27782	7311
475	27849	7254
476	27908	7196
477	27956	7135
478	27997	7072
479	28060	7015
480	28149	6964
481	28218	6908
482	28284	6851
483	28351	6795
484	28419	6738
485	28480	6680
486	28541	6622
