bulk_id,spalen,date1,month_from_first
01778D74-9326-E711-96FE-001EC9D5643C,0,1496275200000000000,1
01778D74-9326-E711-96FE-001EC9D5643C,0,1498867200000000000,2
01778D74-9326-E711-96FE-001EC9D5643C,0,1501545600000000000,3
01778D74-9326-E711-96FE-001EC9D5643C,0,1504224000000000000,4
01778D74-9326-E711-96FE-001EC9D5643C,0,1506816000000000000,5
01778D74-9326-E711-96FE-001EC9D5643C,0,1509494400000000000,6
01778D74-9326-E711-96FE-001EC9D5643C,0,1512086400000000000,7
01778D74-9326-E711-96FE-001EC9D5643C,0,1514764800000000000,8
01778D74-9326-E711-96FE-001EC9D5643C,0,1517443200000000000,9
01778D74-9326-E711-96FE-001EC9D5643C,1,1496275200000000000,1
01778D74-9326-E711-96FE-001EC9D5643C,1,1498867200000000000,2
01778D74-9326-E711-96FE-001EC9D5643C,1,1501545600000000000,3
01778D74-9326-E711-96FE-001EC9D5643C,1,1504224000000000000,4
01778D74-9326-E711-96FE-001EC9D5643C,1,1506816000000000000,5
01778D74-9326-E711-96FE-001EC9D5643C,1,1509494400000000000,6
01778D74-9326-E711-96FE-001EC9D5643C,1,1512086400000000000,7
01778D74-9326-E711-96FE-001EC9D5643C,1,1514764800000000000,8
01778D74-9326-E711-96FE-001EC9D5643C,1,1517443200000000000,9
01778D74-9326-E711-96FE-001EC9D5643C,1,1519862400000000000,10
01778D74-9326-E711-96FE-001EC9D5643C,1,1522540800000000000,11
01778D74-9326-E711-96FE-001EC9D5643C,1,1525132800000000000,12
01778D74-9326-E711-96FE-001EC9D5643C,2,1475280000000000000,1
01778D74-9326-E711-96FE-001EC9D5643C,2,1496275200000000000,2
01778D74-9326-E711-96FE-001EC9D5643C,2,1498867200000000000,3
01778D74-9326-E711-96FE-001EC9D5643C,2,1501545600000000000,4
01778D74-9326-E711-96FE-001EC9D5643C,2,1504224000000000000,5
01778D74-9326-E711-96FE-001EC9D5643C,2,1506816000000000000,6
01778D74-9326-E711-96FE-001EC9D5643C,2,1509494400000000000,7
01778D74-9326-E711-96FE-001EC9D5643C,2,1512086400000000000,8
01778D74-9326-E711-96FE-001EC9D5643C,2,1514764800000000000,9
01778D74-9326-E711-96FE-001EC9D5643C,2,1517443200000000000,10
01778D74-9326-E711-96FE-001EC9D5643C,2,1519862400000000000,11
01778D74-9326-E711-96FE-001EC9D5643C,2,1525132800000000000,12
01778D74-9326-E711-96FE-001EC9D5643C,3,1496275200000000000,1
01778D74-9326-E711-96FE-001EC9D5643C,3,1498867200000000000,2
01778D74-9326-E711-96FE-001EC9D5643C,3,1501545600000000000,3
01778D74-9326-E711-96FE-001EC9D5643C,3,1504224000000000000,4
01778D74-9326-E711-96FE-001EC9D5643C,3,1506816000000000000,5
01778D74-9326-E711-96FE-001EC9D5643C,3,1509494400000000000,6
01778D74-9326-E711-96FE-001EC9D5643C,3,1512086400000000000,7
01778D74-9326-E711-96FE-001EC9D5643C,3,1514764800000000000,8
01778D74-9326-E711-96FE-001EC9D5643C,3,1517443200000000000,9
01778D74-9326-E711-96FE-001EC9D5643C,3,1519862400000000000,10
01778D74-9326-E711-96FE-001EC9D5643C,3,1522540800000000000,11
01778D74-9326-E711-96FE-001EC9D5643C,3,1525132800000000000,12
01FE2A0C-2215-E711-96FE-001EC9D5643C,1,1493596800000000000,1
01FE2A0C-2215-E711-96FE-001EC9D5643C,1,1496275200000000000,2
01FE2A0C-2215-E711-96FE-001EC9D5643C,1,1498867200000000000,3
01FE2A0C-2215-E711-96FE-001EC9D5643C,1,1501545600000000000,4
01FE2A0C-2215-E711-96FE-001EC9D5643C,1,1504224000000000000,5
01FE2A0C-2215-E711-96FE-001EC9D5643C,1,1506816000000000000,6
01FE2A0C-2215-E711-96FE-001EC9D5643C,1,1509494400000000000,7
01FE2A0C-2215-E711-96FE-001EC9D5643C,1,1512086400000000000,8
01FE2A0C-2215-E711-96FE-001EC9D5643C,1,1514764800000000000,9
01FE2A0C-2215-E711-96FE-001EC9D5643C,1,1517443200000000000,10
01FE2A0C-2215-E711-96FE-001EC9D5643C,1,1519862400000000000,11
01FE2A0C-2215-E711-96FE-001EC9D5643C,1,1522540800000000000,12
01FE2A0C-2215-E711-96FE-001EC9D5643C,1,1525132800000000000,13
01FE2A0C-2215-E711-96FE-001EC9D5643C,2,1493596800000000000,1
01FE2A0C-2215-E711-96FE-001EC9D5643C,2,1496275200000000000,2
01FE2A0C-2215-E711-96FE-001EC9D5643C,2,1498867200000000000,3
01FE2A0C-2215-E711-96FE-001EC9D5643C,2,1501545600000000000,4
01FE2A0C-2215-E711-96FE-001EC9D5643C,2,1504224000000000000,5
01FE2A0C-2215-E711-96FE-001EC9D5643C,2,1506816000000000000,6
01FE2A0C-2215-E711-96FE-001EC9D5643C,2,1509494400000000000,7
01FE2A0C-2215-E711-96FE-001EC9D5643C,2,1512086400000000000,8
01FE2A0C-2215-E711-96FE-001EC9D5643C,2,1514764800000000000,9
01FE2A0C-2215-E711-96FE-001EC9D5643C,2,1517443200000000000,10
01FE2A0C-2215-E711-96FE-001EC9D5643C,2,1519862400000000000,11
01FE2A0C-2215-E711-96FE-001EC9D5643C,2,1522540800000000000,12
01FE2A0C-2215-E711-96FE-001EC9D5643C,2,1525132800000000000,13
01FE2A0C-2215-E711-96FE-001EC9D5643C,3,1493596800000000000,1
01FE2A0C-2215-E711-96FE-001EC9D5643C,3,1496275200000000000,2
01FE2A0C-2215-E711-96FE-001EC9D5643C,3,1498867200000000000,3
01FE2A0C-2215-E711-96FE-001EC9D5643C,3,1501545600000000000,4
01FE2A0C-2215-E711-96FE-001EC9D5643C,3,1504224000000000000,5
01FE2A0C-2215-E711-96FE-001EC9D5643C,3,1506816000000000000,6
01FE2A0C-2215-E711-96FE-001EC9D5643C,3,1509494400000000000,7
01FE2A0C-2215-E711-96FE-001EC9D5643C,3,1512086400000000000,8
01FE2A0C-2215-E711-96FE-001EC9D5643C,3,1514764800000000000,9
01FE2A0C-2215-E711-96FE-001EC9D5643C,3,1517443200000000000,10
01FE2A0C-2215-E711-96FE-001EC9D5643C,3,1519862400000000000,11
01FE2A0C-2215-E711-96FE-001EC9D5643C,3,1522540800000000000,12
01FE2A0C-2215-E711-96FE-001EC9D5643C,3,1525132800000000000,13
030E1C6F-6CAF-E711-8547-00505688958B,1,1509494400000000000,1
030E1C6F-6CAF-E711-8547-00505688958B,1,1512086400000000000,2
030E1C6F-6CAF-E711-8547-00505688958B,1,1514764800000000000,3
030E1C6F-6CAF-E711-8547-00505688958B,1,1517443200000000000,4
030E1C6F-6CAF-E711-8547-00505688958B,1,1519862400000000000,5
030E1C6F-6CAF-E711-8547-00505688958B,1,1522540800000000000,6
030E1C6F-6CAF-E711-8547-00505688958B,1,1525132800000000000,7
030E1C6F-6CAF-E711-8547-00505688958B,2,1509494400000000000,1
030E1C6F-6CAF-E711-8547-00505688958B,2,1512086400000000000,2
030E1C6F-6CAF-E711-8547-00505688958B,2,1514764800000000000,3
030E1C6F-6CAF-E711-8547-00505688958B,2,1517443200000000000,4
030E1C6F-6CAF-E711-8547-00505688958B,2,1519862400000000000,5
030E1C6F-6CAF-E711-8547-00505688958B,2,1522540800000000000,6
030E1C6F-6CAF-E711-8547-00505688958B,2,1525132800000000000,7
030E1C6F-6CAF-E711-8547-00505688958B,3,1509494400000000000,1
030E1C6F-6CAF-E711-8547-00505688958B,3,1512086400000000000,2
030E1C6F-6CAF-E711-8547-00505688958B,3,1514764800000000000,3
030E1C6F-6CAF-E711-8547-00505688958B,3,1517443200000000000,4
030E1C6F-6CAF-E711-8547-00505688958B,3,1519862400000000000,5
030E1C6F-6CAF-E711-8547-00505688958B,3,1522540800000000000,6
030E1C6F-6CAF-E711-8547-00505688958B,3,1525132800000000000,7
040FE4E1-6498-E711-8530-00505688958B,0,1522540800000000000,1
040FE4E1-6498-E711-8530-00505688958B,0,1525132800000000000,2
040FE4E1-6498-E711-8530-00505688958B,1,1522540800000000000,1
