bulk_id,spalen,date1,value,price,mean_sq,mean_fl,month,month_cnt,Класс объекта,Количество помещений,Огорожена территория,Площадь земельного участка,Входные группы,Детский сад,Школа,Поликлиника,ФОК,Спортивная площадка,Автомойка,Кладовые,Колясочные,Кондиционирование,Вентлияция,Лифт,Система мусоротведения,Видеонаблюдение,Подземная парковка,Двор без машин,Машиномест,Площадь пром. зоны в радиусе 500 м,Площадь зеленой зоны в радиусе 500 м,До Кремля,До ТТК(км),До Садового(км),До большой дороги на машине(км),До удобной авторазвязки на машине(км),До метро пешком(км),До промки(км),До парка(км),До парка пешком(км),Станций метро от кольца,Площадь двора,Курс,Cтавка по ипотеке,Вклады до 1 года,Вклады от 1 года до 3 лет,Вклады свыше 3 лет,price_m,car_sum_distance
FF3814A9-9F7D-E711-8530-00505688958B,1,1506816000000000000,1124.5,135633.913043,38.0,8,10,34,эконом,1983,нет,17.0,да,345,825,0,0,да,нет,да,да,1,1,1,контейнеры,0,да,да,1800,65357,25533,18.0,12.0,16.0,0.55,1.7,1.4,0.28,0.58,0.93,8,7640,57.698052399999995,10.04,5.74,5.94,6.03,3569.313501131579,2.25
FF3814A9-9F7D-E711-8530-00505688958B,2,1506816000000000000,1412.3,128492.419825,58.01,9,10,34,эконом,1983,нет,17.0,да,345,825,0,0,да,нет,да,да,1,1,1,контейнеры,0,да,да,1800,65357,25533,18.0,12.0,16.0,0.55,1.7,1.4,0.28,0.58,0.93,8,7640,57.698052399999995,10.04,5.74,5.94,6.03,2215.004651353215,2.25
FF3814A9-9F7D-E711-8530-00505688958B,0,1506816000000000000,345.0,158237.634409,22.58,10,10,34,эконом,1983,нет,17.0,да,345,825,0,0,да,нет,да,да,1,1,1,контейнеры,0,да,да,1800,65357,25533,18.0,12.0,16.0,0.55,1.7,1.4,0.28,0.58,0.93,8,7640,57.698052399999995,10.04,5.74,5.94,6.03,7007.866891452613,2.25
FF3814A9-9F7D-E711-8530-00505688958B,3,1506816000000000000,769.4,123250.0,78.81,8,10,34,эконом,1983,нет,17.0,да,345,825,0,0,да,нет,да,да,1,1,1,контейнеры,0,да,да,1800,65357,25533,18.0,12.0,16.0,0.55,1.7,1.4,0.28,0.58,0.93,8,7640,57.698052399999995,10.04,5.74,5.94,6.03,1563.8878314934652,2.25
FF3814A9-9F7D-E711-8530-00505688958B,1,1509494400000000000,526.7,139420.634921,37.93,9,11,35,эконом,1983,нет,17.0,да,345,825,0,0,да,нет,да,да,1,1,1,контейнеры,0,да,да,1800,65357,25533,18.0,12.0,16.0,0.55,1.7,1.4,0.28,0.58,0.93,8,7640,58.9265524,9.87,5.17,7.07,6.2,3675.735167967308,2.25
FF3814A9-9F7D-E711-8530-00505688958B,2,1509494400000000000,1385.7,132136.99059600002,58.0,9,11,35,эконом,1983,нет,17.0,да,345,825,0,0,да,нет,да,да,1,1,1,контейнеры,0,да,да,1800,65357,25533,18.0,12.0,16.0,0.55,1.7,1.4,0.28,0.58,0.93,8,7640,58.9265524,9.87,5.17,7.07,6.2,2278.223975793104,2.25
FF3814A9-9F7D-E711-8530-00505688958B,0,1509494400000000000,91.0,163102.631579,22.88,10,11,35,эконом,1983,нет,17.0,да,345,825,0,0,да,нет,да,да,1,1,1,контейнеры,0,да,да,1800,65357,25533,18.0,12.0,16.0,0.55,1.7,1.4,0.28,0.58,0.93,8,7640,58.9265524,9.87,5.17,7.07,6.2,7128.611520061189,2.25
FF3814A9-9F7D-E711-8530-00505688958B,3,1509494400000000000,490.4,130635.087719,78.78,8,11,35,эконом,1983,нет,17.0,да,345,825,0,0,да,нет,да,да,1,1,1,контейнеры,0,да,да,1800,65357,25533,18.0,12.0,16.0,0.55,1.7,1.4,0.28,0.58,0.93,8,7640,58.9265524,9.87,5.17,7.07,6.2,1658.2265513962934,2.25
FF3814A9-9F7D-E711-8530-00505688958B,1,1512086400000000000,1209.5,145131.649832,37.93,9,12,36,эконом,1983,нет,17.0,да,345,825,0,0,да,нет,да,да,1,1,1,контейнеры,0,да,да,1800,65357,25533,18.0,12.0,16.0,0.55,1.7,1.4,0.28,0.58,0.93,8,7640,58.5738545,9.73,5.31,6.28,5.89,3826.302394727129,2.25
FF3814A9-9F7D-E711-8530-00505688958B,2,1512086400000000000,869.6,136454.915254,57.83,9,12,36,эконом,1983,нет,17.0,да,345,825,0,0,да,нет,да,да,1,1,1,контейнеры,0,да,да,1800,65357,25533,18.0,12.0,16.0,0.55,1.7,1.4,0.28,0.58,0.93,8,7640,58.5738545,9.73,5.31,6.28,5.89,2359.586983468788,2.25
