bulk_id,spalen,square_median,square_min,floor_median,square_sum,num_flats,number_floor_1,number_floor_16,most_otdelka,most_vid,most_plan_size,stroy_time,date_salestart,date_settle
01778D74-9326-E711-96FE-001EC9D5643C,0.0,22.7,22.6,13.5,547.9,24.0,0,10,Лоукост (без кондиционера),хороший,S,55296000.0,1494536400000000000,1549832400000000000
01778D74-9326-E711-96FE-001EC9D5643C,1.0,46.8,46.5,13.5,2248.2,48.0,0,20,Лоукост (без кондиционера),эконом,L,55296000.0,1494536400000000000,1549832400000000000
01778D74-9326-E711-96FE-001EC9D5643C,2.0,46.3,46.0,13.5,3892.700000000005,72.0,0,30,Лоукост (без кондиционера),хороший,S,55296000.0,1494536400000000000,1549832400000000000
01778D74-9326-E711-96FE-001EC9D5643C,3.0,93.6,93.1,13.5,6756.9000000000115,72.0,0,30,Лоукост (без кондиционера),хороший,L,55296000.0,1494536400000000000,1549832400000000000
01FE2A0C-2215-E711-96FE-001EC9D5643C,1.0,43.6,43.5,9.5,2809.6999999999985,64.0,0,8,Не производится,--,L,64454400.0,1492117200000000000,1556571600000000000
01FE2A0C-2215-E711-96FE-001EC9D5643C,2.0,53.95,53.2,9.5,2756.2999999999984,48.0,0,6,Не производится,--,S,64454400.0,1492117200000000000,1556571600000000000
01FE2A0C-2215-E711-96FE-001EC9D5643C,3.0,86.3,81.7,9.5,2758.2,32.0,0,4,Не производится,--,L,64454400.0,1492117200000000000,1556571600000000000
030E1C6F-6CAF-E711-8547-00505688958B,1.0,40.2,37.9,7.0,2241.8000000000006,55.0,0,0,Не производится,хороший,M,82166400.0,1508792400000000000,1590958800000000000
030E1C6F-6CAF-E711-8547-00505688958B,2.0,66.7,66.7,7.0,2250.6000000000004,33.0,0,0,Не производится,средний,L,82166400.0,1508792400000000000,1590958800000000000
030E1C6F-6CAF-E711-8547-00505688958B,3.0,92.9,72.2,7.0,2839.100000000001,33.0,0,0,Не производится,хороший,L,82166400.0,1508792400000000000,1590958800000000000
