id,bulk_spalen_id,value
0,647,978.5291487690505
1,648,1280.4426395584555
2,646,182.22687628965141
3,649,542.6658284355387
4,647,1306.5752225085153
5,648,1484.8622928942436
6,646,238.67968217566977
7,649,653.3257483515645
8,597,0.0
9,598,0.0
10,595,0.0
11,596,0.0
12,647,1108.4099125137068
13,648,1442.4175101996275
14,646,135.73894438383792
15,649,697.9412257615378
16,597,0.0
17,598,0.0
18,595,0.0
19,596,0.0
20,80,15.003501431250319
21,80,27.40745008458889
22,80,23.608011487013577
23,72,174.91819952022632
24,758,335.0225664281201
25,757,144.0262097842927
26,304,161.70417521215495
27,303,152.94815401305374
28,847,23.504632817027925
29,618,570.9608647151427
30,616,79.66275609170182
31,619,62.21731197559859
32,617,94.19123549979672
33,128,307.4180021280328
34,127,1303.8620483410668
35,125,19.320290449192417
36,314,20.113087496212188
37,537,10.136737881468775
38,919,155.6833630769491
39,921,84.07194240077722
40,920,367.4665995429306
41,918,72.69214276309236
42,237,2056.3348616973503
43,236,842.5257303775336
44,235,273.0281274771196
45,238,986.008235009252
46,239,468.39554572595773
47,115,1467.535874517221
48,116,1291.2145809946555
49,114,1145.9754213025744
50,113,208.65896904468082
51,369,261.11744597135623
52,368,328.5719710529367
53,367,147.007002083437
54,25,386.54382269579855
55,24,274.87976987008335
56,23,273.08270922665525
57,71,12.109696850863383
58,72,149.88411006134365
59,758,340.4330306436704
60,757,99.65337682990894
61,304,201.8726243221123
62,303,134.81679661685538
63,618,474.0093484003867
64,619,17.296567704334784
65,616,43.2709344533175
66,617,57.791052161482
67,128,278.165881283031
68,127,1023.715202919597
69,314,22.51593779045269
70,537,3.963115963167991
71,918,40.586424998700906
72,921,135.24405106964025
73,919,146.53334516814928
74,920,487.4659485974138
75,237,1526.682684745004
76,236,836.5289761487957
77,235,280.5339995589661
78,238,681.3423286166937
79,239,217.61410070576034
80,115,1124.7386403593714
81,114,1013.5114476205857
82,116,876.8650277032642
83,113,230.1705255338722
84,369,236.06369359098812
85,367,184.3907870437781
86,368,320.4686162165937
87,23,196.01865423559312
