bulk_id,spalen,date1,new_still_sale,sum_still_sale,sum_flat_still_sale,flat_still_sale,idle_square,shadow_start_square
4B3B6D6A-93FF-E411-8098-001EC9D56418,3.0,1435708800000000000,0.0,5623.3000000000075,5623.3000000000075,23.0,0.0,5623.3000000000075
4B3B6D6A-93FF-E411-8098-001EC9D56418,1.0,1435708800000000000,0.0,9381.699999999992,9381.699999999992,68.0,0.0,9381.699999999992
4B3B6D6A-93FF-E411-8098-001EC9D56418,0.0,1435708800000000000,0.0,942.1999999999995,942.1999999999995,9.0,0.0,942.1999999999995
4B3B6D6A-93FF-E411-8098-001EC9D56418,2.0,1435708800000000000,0.0,8325.200000000003,8325.200000000003,51.0,0.0,8325.200000000003
B526E7C2-5C3E-E411-988B-001EC9D5643C,2.0,1435708800000000000,0.0,7613.800000000011,7613.800000000011,66.0,0.0,7613.800000000011
B526E7C2-5C3E-E411-988B-001EC9D5643C,1.0,1435708800000000000,0.0,4081.999999999999,4081.999999999999,54.0,0.0,4081.999999999999
B526E7C2-5C3E-E411-988B-001EC9D5643C,3.0,1435708800000000000,0.0,1220.2,1220.2,8.0,0.0,1220.2
B526E7C2-5C3E-E411-988B-001EC9D5643C,0.0,1435708800000000000,0.0,90.8,90.8,1.0,0.0,90.8
8421806C-5D3E-E411-988B-001EC9D5643C,3.0,1435708800000000000,0.0,2526.900000000001,2526.900000000001,22.0,0.0,2526.900000000001
8421806C-5D3E-E411-988B-001EC9D5643C,1.0,1435708800000000000,0.0,1378.3000000000002,1378.3000000000002,21.0,0.0,1378.3000000000002
8421806C-5D3E-E411-988B-001EC9D5643C,0.0,1435708800000000000,0.0,158.89999999999998,158.89999999999998,4.0,0.0,158.89999999999998
8421806C-5D3E-E411-988B-001EC9D5643C,2.0,1435708800000000000,0.0,2528.1000000000004,2528.1000000000004,20.0,0.0,2528.1000000000004
67A58823-AFC9-E511-9405-001EC9D56418,1.0,1435708800000000000,0.0,0.0,0.0,0.0,3555.6999999999975,0.0
67A58823-AFC9-E511-9405-001EC9D56418,2.0,1435708800000000000,0.0,0.0,0.0,0.0,3598.800000000001,0.0
67A58823-AFC9-E511-9405-001EC9D56418,4.0,1435708800000000000,0.0,0.0,0.0,0.0,1942.500000000001,0.0
67A58823-AFC9-E511-9405-001EC9D56418,3.0,1435708800000000000,0.0,0.0,0.0,0.0,1946.3999999999992,0.0
67A58823-AFC9-E511-9405-001EC9D56418,0.0,1435708800000000000,0.0,0.0,0.0,0.0,544.7999999999998,0.0
8B240E6D-7FCA-E511-9405-001EC9D56418,1.0,1435708800000000000,0.0,0.0,0.0,0.0,3555.6999999999975,0.0
8B240E6D-7FCA-E511-9405-001EC9D56418,2.0,1435708800000000000,0.0,0.0,0.0,0.0,3598.800000000001,0.0
8B240E6D-7FCA-E511-9405-001EC9D56418,4.0,1435708800000000000,0.0,0.0,0.0,0.0,1942.500000000001,0.0
8B240E6D-7FCA-E511-9405-001EC9D56418,3.0,1435708800000000000,0.0,0.0,0.0,0.0,1946.3999999999992,0.0
8B240E6D-7FCA-E511-9405-001EC9D56418,0.0,1435708800000000000,0.0,0.0,0.0,0.0,544.7999999999998,0.0
F38FFFC2-6F3B-E511-A64E-001EC9D5643C,1.0,1435708800000000000,0.0,0.0,0.0,0.0,6491.10000000001,0.0
F38FFFC2-6F3B-E511-A64E-001EC9D5643C,2.0,1435708800000000000,0.0,0.0,0.0,0.0,8974.799999999997,0.0
F38FFFC2-6F3B-E511-A64E-001EC9D5643C,0.0,1435708800000000000,0.0,0.0,0.0,0.0,536.6999999999998,0.0
F38FFFC2-6F3B-E511-A64E-001EC9D5643C,3.0,1435708800000000000,0.0,0.0,0.0,0.0,2100.0,0.0
EB65828D-0449-42C8-9224-42B1C83F1B1E,1.0,1435708800000000000,0.0,0.0,0.0,0.0,3555.6999999999975,0.0
EB65828D-0449-42C8-9224-42B1C83F1B1E,2.0,1435708800000000000,0.0,0.0,0.0,0.0,3598.800000000001,0.0
EB65828D-0449-42C8-9224-42B1C83F1B1E,4.0,1435708800000000000,0.0,0.0,0.0,0.0,1942.500000000001,0.0
EB65828D-0449-42C8-9224-42B1C83F1B1E,3.0,1435708800000000000,0.0,0.0,0.0,0.0,1946.3999999999992,0.0
EB65828D-0449-42C8-9224-42B1C83F1B1E,0.0,1435708800000000000,0.0,0.0,0.0,0.0,544.7999999999998,0.0
11343FA0-ABDF-E511-B620-001EC9D5643C,1.0,1435708800000000000,0.0,0.0,0.0,0.0,3555.6999999999975,0.0
11343FA0-ABDF-E511-B620-001EC9D5643C,2.0,1435708800000000000,0.0,0.0,0.0,0.0,3598.800000000001,0.0
11343FA0-ABDF-E511-B620-001EC9D5643C,4.0,1435708800000000000,0.0,0.0,0.0,0.0,1942.500000000001,0.0
