bulk_id,spalen,date1,price_all_change,price_rel_change,just_bulk_len
01778D74-9326-E711-96FE-001EC9D5643C,0,1496275200000000000,0.0,,45
01778D74-9326-E711-96FE-001EC9D5643C,0,1498867200000000000,3092.2077930000087,0.9799894106028104,45
01778D74-9326-E711-96FE-001EC9D5643C,0,1501545600000000000,8213.636364000005,0.9679208983964923,45
01778D74-9326-E711-96FE-001EC9D5643C,0,1504224000000000000,13763.636364000005,0.9664043583535109,45
01778D74-9326-E711-96FE-001EC9D5643C,0,1506816000000000000,17363.636364000005,0.9786729857819905,45
01778D74-9326-E711-96FE-001EC9D5643C,0,1509494400000000000,19138.636364000005,0.9895940202257072,45
01778D74-9326-E711-96FE-001EC9D5643C,0,1512086400000000000,19213.636364000005,0.9995605039554644,45
01778D74-9326-E711-96FE-001EC9D5643C,0,1514764800000000000,25863.636364000005,0.9624929498025945,45
01778D74-9326-E711-96FE-001EC9D5643C,0,1517443200000000000,27863.636364000005,0.9888455103179029,45
01778D74-9326-E711-96FE-001EC9D5643C,1,1496275200000000000,0.0,,45
01778D74-9326-E711-96FE-001EC9D5643C,1,1498867200000000000,263.9748549999931,0.9977705254390797,45
01778D74-9326-E711-96FE-001EC9D5643C,1,1501545600000000000,1508.0435909999942,0.989602116364045,45
01778D74-9326-E711-96FE-001EC9D5643C,1,1504224000000000000,4127.491601999995,0.9785757894970528,45
01778D74-9326-E711-96FE-001EC9D5643C,1,1506816000000000000,4093.1306989999866,1.000281113486128,45
01778D74-9326-E711-96FE-001EC9D5643C,1,1509494400000000000,4133.924349999987,0.9996663702494428,45
01778D74-9326-E711-96FE-001EC9D5643C,1,1512086400000000000,4240.490006999986,0.9991292146388526,45
01778D74-9326-E711-96FE-001EC9D5643C,1,1514764800000000000,4897.4164139999775,0.9946606852261373,45
01778D74-9326-E711-96FE-001EC9D5643C,1,1517443200000000000,5023.240589999972,0.9989783809331123,45
01778D74-9326-E711-96FE-001EC9D5643C,1,1519862400000000000,11307.15667299999,0.9514551043519609,45
01778D74-9326-E711-96FE-001EC9D5643C,1,1522540800000000000,27528.368795000002,0.8886415643801174,45
