id,predict,value
4,753.1296109557097,526.7
5,995.3941237888439,1385.7
6,286.09928178408705,91.0
7,646.7526029937089,490.4
8,733.6122705172279,1209.5
9,1067.7330276326725,869.6
10,286.41842524713286,198.1
11,602.9047312782988,411.4
12,537.4272244623888,986.4
13,794.715516225385,1336.9
14,206.31308431531494,146.9
15,494.5917063113528,616.0
156,7.854899836715968,0.0
157,11.751065227792418,0.0
158,54.521359647933636,0.0
159,0.0,46.8
160,9.550085098635392,94.0
161,71.90793423923886,46.7
162,21.994575859066977,0.0
911,380.06241680834785,557.5
912,91.34265758107969,0.0
913,390.19558941809436,934.4
914,133.15717536165013,102.9
915,80.17364856108205,0.0
916,184.8902332825771,362.8
917,697.075515758389,785.2
918,80.92794953801747,158.9
919,122.00565064584266,34.0
920,199.52379450521184,355.1
921,809.6421903727587,1066.4
922,179.31178333988967,80.4
923,173.8756337653304,47.4
924,222.24207875920797,70.4
925,40.006409339016614,0.0
926,0.9876676689186914,0.0
927,265.79393673173524,0.0
928,416.1287558060491,87.9
929,363.85814945958174,235.1
930,927.9988091567,629.2
931,471.00529948105,261.9
932,1096.2142238214924,972.7
933,219.55722997581452,183.2
934,465.2978883283994,34.6
935,65.44567323558478,0.0
936,755.6423252618699,388.7
937,276.61230675461195,181.6
938,453.02530188091504,93.8
939,454.51558540424014,430.0
940,1119.6501014577384,626.0
941,525.9256435273362,44.8
942,474.04479344087457,80.8
943,882.3976881735343,837.2
944,463.16671479613177,127.8
945,191.85996484597064,46.9
946,427.21353204040724,209.7
947,91.12830275778424,87.9
948,441.46763965000565,367.2
949,70.55031653558693,186.4
950,175.77279549862132,349.7
951,734.8633237421062,1140.5
952,42.712750211087666,22.7
953,196.99766723697434,92.5
954,796.4195354544978,2536.0
955,209.20448845125355,241.2
956,34.046334166879504,91.9
957,9.017925409114834,0.0
958,277.3379846933378,266.5
959,415.219471571416,634.5
960,353.92969300654846,283.5
961,899.1175892483491,466.1
962,470.24465098609073,358.2
963,1064.8554740809836,871.6
964,223.8955936459356,0.0
965,453.40226336977304,68.8
966,67.58617880446381,0.0
967,123.3248366480872,44.18
968,767.0770319412972,739.2
969,434.8837221658529,0.0
970,256.47279458280616,249.7
971,471.23798590921905,0.0
972,448.57210427055963,375.2
973,1167.4669881005443,770.4
974,576.053477680897,131.1
975,462.0963771562621,268.4
976,921.4181377783192,344.1
977,455.4415628610324,390.0
978,149.15635272142373,0.0
979,92.09482031045968,0.0
980,134.0830406251527,87.9
981,395.5578586883434,758.2
982,88.01820524702964,34.0
983,128.2418980892618,528.0
984,333.04448580009284,1423.5
985,39.597967002355084,33.8
986,286.2369893655731,469.9
987,420.0174919412957,451.4
988,321.5831135747756,141.3
989,821.0071426865819,139.6
990,246.8465150805555,373.4
991,750.7713450463774,1316.4
992,34.45110251577956,22.9
993,70.07027500364745,0.0
994,94.70064127557957,44.18
995,451.16209504133593,542.6
996,186.1813835118979,89.2
997,280.8164763487798,0.0
998,68.32921062571046,227.0
999,247.6362091430154,443.0
1000,772.8835132048278,210.3
1001,245.38861961783059,172.6
1002,265.42526603398005,174.6
1003,583.1602426796908,52.5
1004,211.9407696189884,44.8
1021,450.1851512434103,677.92
1022,502.0813419979133,300.03
1023,582.1106442103599,748.33
1024,455.6673278817161,66.71
1025,357.90775333255675,421.41
1026,364.2257414829464,0.0
1123,487.7077823803719,569.0
1124,326.5019988625851,0.0
1125,148.10142006230734,0.0
1126,180.90590588202815,0.0
1127,9.567159003575428,0.0
1128,349.0933355900559,401.45
1129,267.3146424584834,228.46
1130,485.5509860471258,670.27
1131,701.8428014450332,535.01
1132,125.84115902994373,22.45
1133,392.1535015378604,238.1
1134,46.683825115925835,61.73
1135,497.0983426921277,640.87
1136,221.62129784268555,0.0
1137,427.2391134260248,418.17
1138,275.9284760743957,128.39
1139,686.4815497931852,384.85
1140,226.9836500898935,120.79
1141,62.356160750987,0.0
1142,431.4292702214122,235.02
1143,374.0403570396056,228.46
1144,533.6320012568222,1376.17
1145,851.5389477477675,487.33
1146,175.49691819873308,44.9
1147,439.6568531418399,240.2
1148,79.62519869777786,0.0
1149,639.0230035509884,609.82
1150,288.0448141118869,295.24
1151,87.1012379409398,0.0
1152,181.20068330800873,0.0
1153,359.52631094289393,258.71
1154,103.33835356413685,120.71
1155,0.0,0.0
1156,195.89846974373876,344.29
1157,261.7460072604781,238.51
1158,398.29611246754087,92.46
1159,553.461152982061,388.37
1160,87.61653523812097,22.45
1161,15.171685356425252,0.0
1162,353.4167034385638,573.78
1163,282.84626333051676,318.5
1164,135.13648003117416,40.95
1250,1708.977042007061,1058.2
1251,1268.973761527953,1126.5
1252,1213.5655463503495,1185.6
1253,451.47157830506546,321.1
1254,440.10448210886796,192.0
1255,244.7254077183098,0.0
1256,266.81591806574824,244.1
1257,81.25951683209063,63.3
1258,293.1128640147544,978.7
1259,247.7872571536969,207.4
1260,41.56467771822793,21.1
1261,1724.042855392015,1060.5
1262,1264.2770390345243,455.5
1263,1171.8328223408166,1737.3
1264,579.6100243432616,140.5
1265,604.5450938660066,184.2
1266,250.43041887107105,0.0
1267,383.7293015212043,323.4
1268,152.57991470715433,42.0
1269,432.0158702129587,429.0
1270,335.4490973318997,325.1
1271,67.26697977190884,126.6
1272,605.7677694538125,942.1
1273,861.1190775622756,1321.4
1274,534.1126889972772,1396.1
1275,67.31135014439606,80.8
1276,244.51386662836975,127.9
1277,126.76521289783155,0.0
1278,149.22823141853857,201.4
1279,14.367903383204032,21.1
1280,172.96063874978398,256.5
1281,141.63271324902792,124.8
1282,32.379003749046845,21.1
1510,251.90959332531162,356.22
1511,318.58429943876035,692.36
1512,191.30400930430284,231.87
1513,349.57298349845183,558.72
1514,337.4661678947981,307.81
1515,161.7756339072778,134.9
1516,203.95011701068918,273.86
1517,203.23595853126815,465.33
1518,329.8326318154169,578.0
1519,285.7472911114672,258.97
1520,249.12253255697428,132.2
1521,209.8873752653507,249.7
1522,378.29058747106535,954.6
1523,263.2950067365875,146.7
1524,255.02750094483744,189.2
1525,374.93505559839434,472.1
1526,204.72665386900877,73.9
1527,247.12682161772517,628.66
1528,340.2715636163018,830.86
1529,182.41750732311067,154.58
1530,370.75297993977154,706.81
1531,335.40802225978,570.63
1532,153.91886108561957,67.45
1533,194.38188078537834,408.33
1534,186.81246273838173,156.17
1535,324.8886914959132,638.68
1536,293.5373097294367,387.89
1537,248.62069622240193,177.08
1538,185.48569761086807,443.8
1539,290.0283803670967,542.1
1540,262.3304421377153,138.8
1541,365.1915499812362,293.7
1542,119.83127169575941,0.0
1543,163.29322377351014,539.96
1544,204.49103767710238,957.26
1545,126.28370704638303,77.29
1546,228.19722573883195,521.26
1547,268.3582572525424,434.22
1548,120.1233464674928,898.64
1549,237.21354558334193,377.48
1550,129.2400733506894,154.58
1551,138.9314653152355,195.03
1552,259.71075847871623,0.0
1553,187.583206108119,418.0
1554,286.16883639658863,73.4
1555,229.56790684650795,136.9
1556,317.9241710209482,147.8
1557,185.20368785965834,147.9
1839,326.17887279390146,389.3
1840,734.441948256293,1241.0
1841,215.51505927434513,546.4
1842,147.17595810979725,28.3
