id,value_x,value_y,value
0,931.19954386054,879.4000564867285,907.8897745423249
1,1460.856890050772,1073.7969817075482,1286.6799312963212
2,158.33830517937548,238.44273593816683,194.3852990208316
3,808.6360515605521,651.1528641406296,737.768617221587
4,710.7408075830434,881.521383137661,787.5920665826213
5,1097.1595456822363,1031.6079153220974,1067.6613120201737
6,147.89503315290443,241.84997960239173,190.1747590551737
7,501.1990634568036,534.7907513119715,516.315322991629
8,538.194016533078,783.7717548984624,648.703998797501
9,664.3628792470107,953.409643813634,794.4339233019912
10,127.67109152981364,222.97478796198638,170.55775492429137
11,299.2764947995745,458.16037837842657,370.7742424100579
12,0.0,262.26057078426203,118.0172568529179
13,0.0,196.55297221783005,88.44883749802351
14,0.0,42.557960268778096,19.151082120950143
15,0.0,176.99207815839432,79.64643517127743
16,35.01738571381243,38.704991271962406,36.676808214979914
17,21.767144423404748,66.09518591632907,41.71476309522069
18,12.958648191606464,68.918554934309,38.1406062258226
19,247.44381443457524,295.3245933875787,268.99016496342676
20,81.14434045994751,84.4965154839013,82.65281922072671
21,315.26459071533696,170.69682748586257,250.2090972620735
22,166.70758153452903,692.6754028786279,403.39310113937347
23,172.07601937046672,403.0268313976492,276.00388478269883
24,236.15689682288732,450.7149559820618,332.7080234445158
25,13.843612575890472,87.42596883819625,46.955672893928075
26,373.30081653687415,441.73487649765474,404.0961435192254
27,106.84308237648848,270.6182310855571,180.54189929556935
28,73.802950555458,163.08805264636612,113.98124649636665
29,108.8806847642603,570.2622456683049,316.50238717108033
30,187.13032318105658,221.680051775847,202.67770104871227
31,927.3587419404159,845.2499488952184,890.4097850700771
32,25.877177193763703,279.85077120623674,140.16529449937656
33,43.97552405420759,12.525892191070463,29.823189715795884
34,22.25243831860627,0.0,12.238841075233449
35,74.23851795331845,147.8150868219436,107.34797394419977
36,579.1327552363098,408.3364536936724,502.2744195421229
37,195.72983132793857,75.49844078163423,141.6257055821016
38,116.16099180662312,131.56324986518817,123.0920079329774
39,218.75138789053628,359.1396396098008,281.9261011642053
40,392.0342689672891,486.0368448133852,434.33542809803237
41,133.07345291850228,180.5329873579243,154.4302434162422
42,274.1905298329094,130.4207401392984,209.49412447078447
43,324.83865730180696,363.9894166895143,342.4564990262753
44,105.88659034245256,137.10697346079024,119.93576274570452
45,118.04273366914929,288.42428135218745,194.71443012651645
46,256.8877936386836,174.63546737230027,219.87424681881112
47,58.89774107260369,341.0060689867669,185.8464886339771
48,154.4969551243118,376.0366344528253,254.18981082214287
49,106.29587312716528,275.65251998256736,182.5063642120962
50,14.579932933495964,30.704890275261466,21.83616373729044
51,297.7156973053795,468.734799831748,374.6742934422453
52,41.868806357856116,146.7248009548529,89.05400392650466
