id,predict,value,error
4,802.2481664306218,526.7,75926.78529602767
5,1183.02766794203,1385.7,41076.054389598554
6,219.63086754226862,91.0,16545.900084676654
7,781.6113983403139,490.4,84804.08207814768
8,1142.2257486471567,1209.5,4525.824895085538
9,1551.815400595972,869.6,465417.88612162205
10,284.3929092918619,198.1,7446.4651406733
11,1043.168310097449,411.4,399131.20535540197
12,681.1889009544517,986.4,93153.82988347778
13,969.85911589481,1336.9,134719.0285266383
14,116.82482980193129,146.9,904.5154953142953
15,644.3520364096726,616.0,803.8379685753988
156,3.5044764394635743,0.0,12.281355114755291
157,58.7770636430087,0.0,3454.7432104942955
158,0.0,0.0,0.0
159,49.6874879016559,46.8,8.33759078816665
160,89.33323880476762,94.0,21.778660053326774
161,0.0,46.7,2180.8900712585455
162,9.61874332737995,0.0,92.5202231980163
911,243.88083999492642,557.5,98356.97752228794
912,27.86517835669544,0.0,776.468164850448
913,369.7520033612095,934.4,318827.3876789031
914,84.45611959038038,102.9,340.1767808506088
915,163.87041089540577,0.0,26853.511567029123
916,180.35818726318408,362.8,33285.01058054974
917,489.19203416475483,785.2,87620.7230646768
918,69.73761055507558,158.9,7949.930603120333
919,19.10493190803365,34.0,221.8630534643141
920,261.83881293526247,355.1,8697.65015116623
921,461.58580903102967,1066.4,365800.2351293937
922,116.95851886924495,80.4,1336.5251903451963
923,15.220610759658607,47.4,1035.5131900851043
924,17.02622330155258,70.4,2848.7602019395713
925,50.652110872758804,0.0,2565.6363358662506
926,10.173160738081656,0.0,103.49319940284609
927,239.32323515143804,0.0,57275.610883350506
928,539.1725464471125,87.9,203646.90979968678
929,301.00189430671196,235.1,4343.058868746589
930,730.373035637376,629.2,10235.980670037088
931,251.43944195312034,261.9,109.42314695981716
932,1591.048692287318,972.7,382355.09015703294
933,72.20647642753396,183.2,12319.56159758088
934,90.0174888046312,34.6,3071.098234532181
935,27.97110782663256,0.0,782.3828730491053
936,123.97142840062911,388.7,70081.22308414328
937,59.925042741723495,181.6,14804.796709093456
938,25.492545104352036,93.8,4665.908811236609
939,245.8130124419128,430.0,33924.846385722965
940,438.4921163004251,626.0,35159.20644949331
941,467.30996004431597,44.8,178514.6669813485
942,529.6166921006904,80.8,201436.42036884627
943,703.1265005120689,837.2,17975.706538219205
944,368.4011995279966,127.8,57888.93574579766
945,20.528567675352765,46.9,695.452523332676
946,57.946497325996404,209.7,23029.12464759895
947,31.268481093610955,87.9,3207.129106470382
948,283.042589240312,367.2,7082.471840399285
949,170.38731580574904,186.4,256.4058596375154
950,212.8653699779784,349.7,18723.719313952897
951,424.33387263600554,1140.5,512893.9219835412
952,23.96839816956846,22.7,1.6088319811431886
953,255.7500258371133,92.5,26650.57093581816
954,566.6007109356008,2536.0,3878533.5597673613
955,68.70388679262314,241.2,29754.90801881946
956,58.79635844999831,91.9,1095.8511848952974
957,12.594952523136957,0.0,158.632829060074
958,252.50797823067768,266.5,195.77667319318974
959,492.9452554699669,634.5,20037.745698962928
960,254.74713882836696,283.5,826.7270255552031
961,551.3459243866135,466.1,7266.866583928609
962,224.36303712807631,358.2,17912.335898284804
963,1671.568658095791,871.6,639949.8929965509
964,35.48303778235686,0.0,1259.0459702641645
965,48.30360809101107,68.8,420.1022063869244
966,29.903082612466598,0.0,894.1943497280022
967,47.24448762982572,44.18,9.391082562940138
968,466.9663452609936,739.2,74111.16941888616
969,226.43720137595096,0.0,51273.806166972965
970,142.81899141055206,249.7,11423.549344747747
971,214.48197520640366,0.0,46002.517688440355
972,238.31298024111737,375.2,18738.059520437128
973,308.2714228081794,770.4,213562.84442220902
974,406.6078059234508,131.1,75904.54776162149
975,563.64764325384,268.4,87171.174451044
976,684.2763549249715,344.1,115719.94829749686
977,307.7919055654409,390.0,6758.170790561385
978,47.700201164326,0.0,2275.3091911171678
979,71.20319616341995,0.0,5069.895143886461
980,257.8003940961345,87.9,28866.143395526957
981,284.81498370141594,758.2,224093.38521326223
982,24.722855866676657,34.0,86.06540327045573
983,171.88335015559582,528.0,126819.06829640195
984,349.9779552203985,1423.5,1152449.5806277764
985,0.2454907186420546,33.8,1125.9050419126193
986,177.9061026857866,469.9,85260.4325043648
987,446.56435603244563,451.4,23.383393552125195
988,155.42978793138104,141.3,199.65082074442927
989,389.4127884264684,139.6,62406.42621193499
990,70.35594785606236,373.4,91835.69384054941
991,899.8972439376054,1316.4,173474.56614461984
992,11.028378448610994,22.9,140.9353892020756
993,27.412205179182063,0.0,751.4289927855759
994,12.518652591427275,44.18,1002.4409390508877
995,229.4672879033698,542.6,98052.08009530851
996,147.11495879499293,89.2,3354.142805710594
997,86.6822651077538,0.0,7513.8150842109135
998,120.41095904800588,227.0,11361.22365106588
999,134.66103692258122,443.0,95072.91615165782
1000,314.79270479455846,210.3,10918.724717509893
1001,259.75274722371216,172.6,7595.600284763997
1002,248.95824375112574,174.6,5529.147506058462
1003,382.2826215702486,52.5,108756.57748974579
1004,242.14022722151253,44.8,38943.16558095549
1021,455.61701647174624,677.92,49418.60888731685
1022,189.88806539076904,300.03,12131.245490562902
1023,863.8789830540811,748.33,13351.563535404486
1024,79.55543491053368,66.71,165.00522156145198
1025,252.86364652762478,421.41,28407.874503305226
1026,52.256718690972846,0.0,2730.764648347471
1123,304.06797316764425,569.0,70188.97884150007
1124,200.65826885802784,0.0,40263.74086110058
1125,128.4182280089853,0.0,16491.241284967735
1126,120.89482557558708,0.0,14615.558850951624
1127,5.054828183432361,0.0,25.551287964022105
1128,289.7842390737285,401.45,12469.244889458241
1129,235.05865231927845,228.46,43.542123825813384
1130,645.8021037697636,670.27,598.6789017111964
1131,481.59657335046757,535.01,2852.9951896760663
1132,63.53565329548205,22.45,1688.0308440248239
1133,249.85831183363598,238.1,138.25775364298119
1134,42.562548694227004,61.73,367.3911720108533
1135,411.8924283279648,640.87,52430.72609271294
1136,151.80616567210748,0.0,23045.111936067344
1137,364.94492451875794,418.17,2832.910089368446
1138,216.83452434293318,128.39,7822.433994212207
1139,337.9009698272929,384.85,2204.2120072660778
1140,209.8523202653583,120.79,7932.096727971271
1141,84.77305453115827,0.0,7186.470774542733
1142,280.3483790339719,235.02,2054.661558519986
1143,250.8061014086596,228.46,499.3479481086296
1144,706.3507512259763,1376.17,448657.8848990318
1145,456.62215704126373,487.33,942.9707945050718
1146,102.61316444448862,44.9,3330.809174069987
1147,277.3515925538744,240.2,1380.2410560444316
1148,32.89756543080852,0.0,1082.2498112743278
1149,455.66902152973455,609.82,23762.52642141127
1150,154.7035830157816,295.24,19750.481753910313
1151,86.35099024671142,0.0,7456.49351658765
1152,132.15178730417088,0.0,17464.09488768682
1153,193.09393251919033,258.71,4305.4671902779
1154,128.19030289417324,120.71,55.95494508542111
1155,0.0,0.0,0.0
1156,189.87567817636236,344.29,23843.78542317064
1157,142.2625528418211,238.51,9263.570027060434
1158,306.4781724751813,92.46,45803.77854149542
1159,240.5216940322518,388.37,21859.120133701803
1160,44.971988398352224,22.45,507.2399270496857
1161,20.129360021251614,0.0,405.1911348651628
1162,249.41811881772884,573.78,105210.64896968163
1163,174.3489197664851,318.5,20779.533932489252
1164,92.07837771051916,40.95,2614.1109292938004
1250,1842.7233763117474,1058.2,615477.004593197
1251,1340.192393434539,1126.5,45664.43901178185
1252,1509.7141018188522,1185.6,105049.96682372577
1253,163.9071413145769,321.1,24709.59674055357
1254,497.0785707374378,192.0,93072.93432319784
1255,197.19844626233726,0.0,38887.22720827992
1256,438.30123242763364,244.1,37714.11630579131
1257,33.934837861247914,63.3,862.3127026275181
1258,464.3969086804817,978.7,264507.6822970407
1259,378.49865053305166,207.4,29274.75030283795
1260,21.103007869401516,21.1,9.044983659858875e-06
1261,2120.6649714306996,1060.5,1123949.766648656
1262,984.5053848976124,455.5,279846.69725067104
1263,1997.6303928124908,1737.3,67771.8879990182
1264,107.53573304753897,140.5,1086.6428957131145
1265,844.7496453421793,184.2,436325.83799335395
1266,196.1180297003496,0.0,38462.28157354721
1267,429.2043223033723,323.4,11194.55590963259
